C	V	Word	Previous	Next	Lemma	ESN	Role	Morphology
1	3	θείας			θεῖος	G23040	AA	,,,GFS,
1	3	δυνάμεως			δύναμις	G14110	N	,,,,GFS,
1	3	αὐτοῦ		,	αὐτός	G08460	RP	,,3GMS,
1	3	τὰ			ὁ	G35880	RD	,,,ANP,
1	3	πρὸς			πρός	G43140	P	,,,,A,,,
1	3	ζωὴν			ζωή	G22220	N	,,,,AFS,
1	3	καὶ			καί	G25320	CC	,,,,,,,
1	3	εὐσέβειαν			εὐσέβεια	G21500	N	,,,,AFS,
1	3	δεδωρημένης		,	δωρέομαι	G14330	V	PEM,GFS,
1	3	διὰ			διά	G12230	P	,,,,G,,,
1	3	τῆς			ὁ	G35880	EA	,,,GFS,
1	3	ἐπιγνώσεως			ἐπίγνωσις	G19220	N	,,,,GFS,
1	3	τοῦ			ὁ	G35880	RD	,,,GMS,
1	3	καλέσαντος			καλέω	G25640	V	PAA,GMS,
1	3	ἡμᾶς		,	ἐγώ	G14730	RP	,,1A,P,
1	3	διὰ			διά	G12230	P	,,,,G,,,
1	3	δόξης			δόξα	G13910	N	,,,,GFS,
1	3	καὶ			καί	G25320	CC	,,,,,,,
1	3	ἀρετῆς		,	ἀρετή	G07030	N	,,,,GFS,
1	4	δι’			διά	G12230	P	,,,,G,,,
1	4	ὧν			ὅς	G37390	RR	,,,GNP,
1	4	τὰ			ὁ	G35880	EP	,,,ANP,
1	4	τίμια			τίμιος	G50930	AA	,,,ANP,
1	4	καὶ			καί	G25320	CC	,,,,,,,
1	4	μέγιστα			μέγιστος	G31760	AA	,,,ANPS
1	4	ἡμῖν			ἐγώ	G14730	RP	,,1D,P,
1	4	ἐπαγγέλματα			ἐπάγγελμα	G18620	N	,,,,ANP,
1	4	δεδώρηται		,	δωρέομαι	G14330	V	IEM3,,S,
1	4	ἵνα			ἵνα	G24430	CS	,,,,,,,
1	4	διὰ			διά	G12230	P	,,,,G,,,
1	4	τούτων			οὗτος	G37780	RD	,,,GNP,
1	4	γένησθε			γίνομαι	G10960	V	SAM2,,P,
1	4	θείας			θεῖος	G23040	NS	,,,GFS,
1	4	κοινωνοὶ			κοινωνός	G28440	N	,,,,NMP,
1	4	φύσεως		,	φύσις	G54490	N	,,,,GFS,
1	4	ἀποφυγόντες			ἀποφεύγω	G06680	V	PAA,NMP,
1	4	τῆς			ὁ	G35880	EA	,,,GFS,
1	4	ἐν			ἐν	G17220	P	,,,,D,,,
1	4	τῷ			ὁ	G35880	EA	,,,DMS,
1	4	κόσμῳ			κόσμος	G28890	N	,,,,DMS,
1	4	ἐν			ἐν	G17220	P	,,,,D,,,
1	4	ἐπιθυμίᾳ			ἐπιθυμία	G19390	N	,,,,DFS,
1	4	φθορᾶς		.	φθορά	G53560	N	,,,,GFS,
1	5	καὶ			καί	G25320	D	,,,,,,,,
1	5	αὐτὸ			αὐτός	G08460	RD	,,,ANS,
1	5	τοῦτο			οὗτος	G37780	ED	,,,ANS,
