C	V	Word	Previous	Next	Lemma	ESN	Role	Morphology
1	8	ἵνα			ἵνα	G24430	CS	,,,,,,,
1	8	μὴ			μή	G33610	DO	,,,,,,,
1	8	ἀπολέσητε			ἀπόλλυμι	G06220	V	SAA2,,P,
1	8	ἃ			ὅς	G37390	RR	,,,ANP,
1	8	εἰργασάμεθα		,	ἐργάζομαι	G20380	V	IAM1,,P,
1	8	ἀλλὰ			ἀλλά	G02350	CO	,,,,,,,
1	8	μισθὸν			μισθός	G34080	N	,,,,AMS,
1	8	πλήρη			πλήρης	G41340	AA	,,,AMS,
1	8	ἀπολάβητε		.	ἀπολαμβάνω	G06180	V	SAA2,,P,
1	9	πᾶς			πᾶς	G39560	RI	,,,NMS,
1	9	ὁ			ὁ	G35880	RD	,,,NMS,
1	9	προάγων			προάγω	G42540	V	PPA,NMS,
1	9	καὶ			καί	G25320	CC	,,,,,,,
1	9	μὴ			μή	G33610	D	,,,,,,,,
1	9	μένων			μένω	G33060	V	PPA,NMS,
1	9	ἐν			ἐν	G17220	P	,,,,D,,,
1	9	τῇ			ὁ	G35880	EA	,,,DFS,
1	9	διδαχῇ			διδαχή	G13220	N	,,,,DFS,
1	9	τοῦ			ὁ	G35880	EA	,,,GMS,
1	9	Χριστοῦ		,	χριστός	G55470	N	,,,,GMS,
1	9	Θεὸν			θεός	G23160	N	,,,,AMS,
1	9	οὐκ			οὐ	G37560	D	,,,,,,,,
1	9	ἔχει		;	ἔχω	G21920	V	IPA3,,S,
1	9	ὁ			ὁ	G35880	RD	,,,NMS,
1	9	μένων			μένω	G33060	V	PPA,NMS,
1	9	ἐν			ἐν	G17220	P	,,,,D,,,
1	9	τῇ			ὁ	G35880	EA	,,,DFS,
1	9	διδαχῇ		,	διδαχή	G13220	N	,,,,DFS,
1	9	οὗτος			οὗτος	G37780	RD	,,,NMS,
1	9	καὶ			καί	G25320	DO	,,,,,,,
1	9	τὸν			ὁ	G35880	EA	,,,AMS,
1	9	Πατέρα			πατήρ	G39620	N	,,,,AMS,
1	9	καὶ			καί	G25320	CO	,,,,,,,
1	9	τὸν			ὁ	G35880	EA	,,,AMS,
1	9	Υἱὸν			υἱός	G52070	N	,,,,AMS,
1	9	ἔχει		.	ἔχω	G21920	V	IPA3,,S,
1	10	εἴ			εἰ	G14870	CS	,,,,,,,
1	10	τις			τις	G51000	RI	,,,NMS,
1	10	ἔρχεται			ἔρχομαι	G20640	V	IPM3,,S,
1	10	πρὸς			πρός	G43140	P	,,,,A,,,
1	10	ὑμᾶς		,	σύ	G47710	RP	,,2A,P,
1	10	καὶ			καί	G25320	CC	,,,,,,,
1	10	ταύτην			οὗτος	G37780	ED	,,,AFS,
1	10	τὴν			ὁ	G35880	EA	,,,AFS,
1	10	διδαχὴν			διδαχή	G13220	N	,,,,AFS,
1	10	οὐ			οὐ	G37560	D	,,,,,,,,
1	10	φέρει		,	φέρω	G53420	V	IPA3,,S,
1	10	μὴ			μή	G33610	D	,,,,,,,,
1	10	λαμβάνετε			λαμβάνω	G29830	V	MPA2,,P,
1	10	αὐτὸν			αὐτός	G08460	RP	,,3AMS,
1	10	εἰς			εἰς	G15190	P	,,,,A,,,
1	10	οἰκίαν		,	οἰκία	G36140	N	,,,,AFS,
1	10	καὶ			καί	G25320	CC	,,,,,,,
1	10	χαίρειν			χαίρω	G54630	V	NPA,,,,,
1	10	αὐτῷ			αὐτός	G08460	RP	,,3DMS,
1	10	μὴ			μή	G33610	D	,,,,,,,,
1	10	λέγετε		;	λέγω	G30040	V	MPA2,,P,
1	11	ὁ			ὁ	G35880	RD	,,,NMS,
1	11	λέγων			λέγω	G30040	V	PPA,NMS,
1	11	γὰρ			γάρ	G10630	CC	,,,,,,,
1	11	αὐτῷ			αὐτός	G08460	RP	,,3DMS,
1	11	χαίρειν			χαίρω	G54630	V	NPA,,,,,
1	11	κοινωνεῖ			κοινωνέω	G28410	V	IPA3,,S,
1	11	τοῖς			ὁ	G35880	EA	,,,DNP,
1	11	ἔργοις			ἔργον	G20410	N	,,,,DNP,
1	11	αὐτοῦ			αὐτός	G08460	RP	,,3GMS,
1	11	τοῖς			ὁ	G35880	EA	,,,DNP,
1	11	πονηροῖς		.	πονηρός	G41900	AR	,,,DNP,
1	12	πολλὰ			πολλός	G41830	RI	,,,ANP,
1	12	ἔχων			ἔχω	G21920	V	PPA,NMS,
1	12	ὑμῖν			σύ	G47710	RP	,,2D,P,
1	12	γράφειν		,	γράφω	G11250	V	NPA,,,,,
1	12	οὐκ			οὐ	G37560	CO	,,,,,,,
1	12	ἐβουλήθην			βούλομαι	G10140	V	IAP1,,S,
1	12	διὰ			διά	G12230	P	,,,,G,,,
1	12	χάρτου			χάρτης	G54890	N	,,,,GMS,
1	12	καὶ			καί	G25320	CC	,,,,,,,
1	12	μέλανος		,	μέλας	G31890	NS	,,,GNS,
1	12	ἀλλὰ			ἀλλά	G02350	CO	,,,,,,,
1	12	ἐλπίζω			ἐλπίζω	G16790	V	IPA1,,S,
1	12	γενέσθαι			γίνομαι	G10960	V	NAM,,,,,
1	12	πρὸς			πρός	G43140	P	,,,,A,,,
1	12	ὑμᾶς		,	σύ	G47710	RP	,,2A,P,
1	12	καὶ			καί	G25320	CC	,,,,,,,
1	12	στόμα			στόμα	G47500	N	,,,,ANS,
1	12	πρὸς			πρός	G43140	P	,,,,A,,,
1	12	στόμα			στόμα	G47500	N	,,,,ANS,
1	12	λαλῆσαι		,	λαλέω	G29800	V	NAA,,,,,
1	12	ἵνα			ἵνα	G24430	CS	,,,,,,,
1	12	ἡ			ὁ	G35880	EA	,,,NFS,
1	12	χαρὰ			χαρά	G54790	N	,,,,NFS,
1	12	ὑμῶν			σύ	G47710	RP	,,2G,P,
1	12	πεπληρωμένη			πληρόω	G41370	V	PEP,NFS,
1	12	ᾖ		.	εἰμί	G15100	V	SPA3,,S,
1	13	ἀσπάζεταί			ἀσπάζομαι	G07820	V	IPM3,,S,
1	13	σε			σύ	G47710	RP	,,2A,S,
1	13	τὰ			ὁ	G35880	EA	,,,NNP,
1	13	τέκνα			τέκνον	G50430	N	,,,,NNP,
1	13	τῆς			ὁ	G35880	EA	,,,GFS,
1	13	ἀδελφῆς			ἀδελφή	G00790	N	,,,,GFS,
1	13	σου			σύ	G47710	RP	,,2G,S,
1	13	τῆς			ὁ	G35880	EA	,,,GFS,
1	13	ἐκλεκτῆς		.	ἐκλεκτός	G15880	AR	,,,GFS,
